run,seed,type,total_reward,n_rows
10_classic,10,classic,13573.000000,20000
10_icarus,10,ACE (old),19854.000000,20000
10_icarus_upgraded,10,ACE,17670.000000,20000
11_classic,11,classic,14194.000000,20000
11_icarus,11,ACE (old),19430.000000,20000
11_icarus_upgraded,11,ACE,17225.000000,20000
12_classic,12,classic,11833.000000,20000
12_icarus,12,ACE (old),19285.000000,20000
12_icarus_upgraded,12,ACE,17271.000000,20000
13_classic,13,classic,13106.000000,20000
13_icarus,13,ACE (old),19730.000000,20000
13_icarus_upgraded,13,ACE,18132.000000,20000
14_classic,14,classic,15187.000000,20000
14_icarus,14,ACE (old),19864.000000,20000
14_icarus_upgraded,14,ACE,16299.000000,20000
15_classic,15,classic,15126.000000,20000
15_icarus,15,ACE (old),19551.000000,20000
15_icarus_upgraded,15,ACE,16670.000000,20000
16_classic,16,classic,14596.000000,20000
16_icarus,16,ACE (old),19821.000000,20000
16_icarus_upgraded,16,ACE,17741.000000,20000
17_classic,17,classic,11731.000000,20000
17_icarus,17,ACE (old),19631.000000,20000
17_icarus_upgraded,17,ACE,17424.000000,20000
18_classic,18,classic,13981.000000,20000
18_icarus,18,ACE (old),19833.000000,20000
18_icarus_upgraded,18,ACE,16756.000000,20000
19_classic,19,classic,14048.000000,20000
19_icarus,19,ACE (old),19479.000000,20000
19_icarus_upgraded,19,ACE,17518.000000,20000
1_classic,1,classic,13942.000000,20000
1_icarus,1,ACE (old),18694.000000,20000
1_icarus_upgraded,1,ACE,15934.000000,20000
20_classic,20,classic,13059.000000,20000
20_icarus,20,ACE (old),19823.000000,20000
20_icarus_upgraded,20,ACE,17656.000000,20000
2_classic,2,classic,14850.000000,20000
2_icarus,2,ACE (old),19562.000000,20000
2_icarus_upgraded,2,ACE,16215.000000,20000
3_classic,3,classic,14836.000000,20000
3_icarus,3,ACE (old),19599.000000,20000
3_icarus_upgraded,3,ACE,17622.000000,20000
4_classic,4,classic,14730.000000,20000
4_icarus,4,ACE (old),19783.000000,20000
4_icarus_upgraded,4,ACE,16649.000000,20000
5_classic,5,classic,12287.000000,20000
5_icarus,5,ACE (old),19610.000000,20000
5_icarus_upgraded,5,ACE,17646.000000,20000
6_classic,6,classic,13118.000000,20000
6_icarus,6,ACE (old),19802.000000,20000
6_icarus_upgraded,6,ACE,16165.000000,20000
7_classic,7,classic,12400.000000,20000
7_icarus,7,ACE (old),19834.000000,20000
7_icarus_upgraded,7,ACE,17697.000000,20000
8_classic,8,classic,13103.000000,20000
8_icarus,8,ACE (old),19822.000000,20000
8_icarus_upgraded,8,ACE,17006.000000,20000
9_classic,9,classic,15211.000000,20000
9_icarus,9,ACE (old),19540.000000,20000
9_icarus_upgraded,9,ACE,17693.000000,20000
noseed_icarus,noseed,ACE (old),19572.000000,20000
noseed_icarus_upgraded,noseed,ACE,16971.000000,20000
