episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,1,0.696319,0.000000
2,0,0.699777,0.000000
3,1,0.702819,0.000000
4,1,0.706217,0.000000
5,0,0.709165,0.000000
6,0,0.712567,0.000000
7,0,0.715513,0.000000
8,0,0.718031,0.000085
9,0,0.720145,0.000273
10,0,0.721880,0.000562
11,0,0.723258,0.000940
12,1,0.724300,0.000891
13,0,0.729512,0.001013
14,0,0.730648,0.001278
15,0,0.731458,0.001659
16,1,0.731961,0.001513
17,0,0.737690,0.001587
18,1,0.738317,0.001269
19,1,0.743784,0.001015
20,1,0.748631,0.000812
21,1,0.752894,0.000650
22,1,0.756608,0.000520
23,1,0.759807,0.000416
24,1,0.762521,0.000333
25,1,0.764780,0.000266
26,1,0.766611,0.000213
27,0,0.768041,0.000170
28,1,0.772072,0.000136
29,1,0.773549,0.000223
30,0,0.774642,0.000178
31,0,0.778923,0.000143
32,1,0.782628,0.000114
33,0,0.784216,0.000091
34,0,0.787791,0.000073
35,1,0.790831,0.000058
36,1,0.792874,0.000047
37,1,0.794479,0.000123
38,1,0.795672,0.000334
39,0,0.796479,0.000267
40,1,0.800669,0.000361
41,0,0.801552,0.000289
42,1,0.805560,0.000317
43,1,0.806511,0.000499
44,1,0.807082,0.000812
45,1,0.807299,0.001234
46,0,0.807182,0.001165
47,1,0.812228,0.001295
48,1,0.812242,0.001585
49,1,0.811933,0.001998
50,1,0.811321,0.002505
51,0,0.810426,0.002332
52,1,0.816378,0.002404
53,1,0.815659,0.002663
54,1,0.814660,0.003060
55,0,0.813400,0.002731
56,1,0.819769,0.002700
57,0,0.818704,0.002160
58,1,0.824693,0.001954
59,1,0.823812,0.002031
60,0,0.822653,0.001624
61,0,0.828676,0.001300
62,1,0.833951,0.001040
63,1,0.833428,0.000917
64,1,0.832598,0.001071
65,0,0.831482,0.000856
66,1,0.837249,0.000787
67,0,0.836314,0.000630
68,1,0.841740,0.000504
69,1,0.840972,0.000609
70,0,0.839907,0.000487
71,1,0.845416,0.000408
72,0,0.844525,0.000326
73,0,0.849708,0.000261
74,1,0.854180,0.000209
75,1,0.853910,0.000167
76,0,0.853298,0.000134
77,1,0.857942,0.000107
78,1,0.857471,0.000170
79,1,0.856669,0.000456
80,1,0.855557,0.000911
81,1,0.854158,0.001485
82,0,0.852490,0.001338
83,1,0.858488,0.001465
84,1,0.857024,0.001797
85,1,0.855294,0.002277
86,0,0.853316,0.001983
87,0,0.859714,0.001586
88,1,0.865303,0.001269
89,1,0.864005,0.001250
90,0,0.862424,0.001000
91,1,0.868066,0.000815
92,1,0.866681,0.000934
93,1,0.865016,0.001276
94,0,0.863091,0.001021
95,0,0.869174,0.000817
96,1,0.874459,0.000654
97,0,0.873213,0.000523
98,1,0.878168,0.000418
99,1,0.877094,0.000343
100,1,0.875710,0.000546
101,1,0.874039,0.000953
102,1,0.872100,0.001506
103,1,0.869911,0.002157
104,0,0.867492,0.001935
105,1,0.874146,0.002019
106,0,0.871967,0.001615
107,0,0.878170,0.001292
108,1,0.883557,0.001034
109,1,0.882071,0.000851
110,0,0.880299,0.000680
111,1,0.885750,0.000544
112,0,0.884178,0.000435
113,1,0.889276,0.000348
114,1,0.887891,0.000320
115,0,0.886208,0.000256
116,1,0.891397,0.000205
117,1,0.889907,0.000327
118,1,0.888123,0.000680
119,1,0.886067,0.001199
120,0,0.883758,0.000975
121,1,0.889836,0.001068
122,0,0.887756,0.000854
123,0,0.893422,0.000684
124,0,0.898292,0.000547
125,1,0.902420,0.000437
126,1,0.901508,0.000350
