episode,is_optimal,expected,unexpected
1,0,0.693247,0.000000
2,0,0.698260,0.000023
3,0,0.703283,0.000084
4,0,0.708304,0.000190
5,1,0.713310,0.000156
6,0,0.718394,0.000231
7,0,0.723381,0.000386
8,0,0.728280,0.000602
9,0,0.733087,0.000863
10,0,0.737791,0.001158
11,0,0.742374,0.001477
12,0,0.746815,0.001815
13,0,0.751088,0.002165
14,1,0.755164,0.002029
15,0,0.759662,0.002088
16,0,0.763834,0.002281
17,0,0.767672,0.002564
18,0,0.771160,0.002904
19,0,0.774281,0.003277
20,0,0.777018,0.003666
21,0,0.779350,0.004059
22,1,0.781260,0.003687
23,1,0.784273,0.002950
24,1,0.788073,0.002360
25,0,0.792474,0.001888
26,0,0.796235,0.001687
27,0,0.799390,0.001821
28,0,0.801967,0.002172
29,0,0.803992,0.002654
30,0,0.805489,0.003205
31,0,0.806481,0.003782
32,1,0.806990,0.003406
33,1,0.808807,0.002724
34,1,0.811639,0.002180
35,1,0.815278,0.001744
36,0,0.819571,0.001395
37,1,0.823115,0.001116
38,0,0.827304,0.000893
39,0,0.830753,0.000714
40,1,0.833516,0.000571
41,0,0.837015,0.000457
42,0,0.839821,0.000682
43,0,0.841987,0.001203
44,1,0.843562,0.000962
45,0,0.846024,0.001131
46,0,0.847862,0.001596
47,0,0.849124,0.002234
48,1,0.849854,0.001951
49,1,0.851587,0.001561
50,1,0.854177,0.001249
51,1,0.857497,0.000999
52,0,0.861440,0.000799
53,1,0.864618,0.000639
54,0,0.868411,0.000511
55,0,0.871455,0.000409
56,1,0.873812,0.000327
57,1,0.876855,0.000262
58,0,0.880490,0.000209
59,0,0.883389,0.000291
60,0,0.885615,0.000751
61,0,0.887226,0.001435
62,1,0.888274,0.001306
63,1,0.890120,0.001045
64,1,0.892666,0.000836
65,0,0.895823,0.000669
66,0,0.898275,0.000724
67,0,0.900083,0.001136
68,1,0.901304,0.000909
69,0,0.903261,0.001086
70,0,0.904613,0.001554
71,1,0.905414,0.001290
72,1,0.906991,0.001032
73,0,0.909255,0.000832
74,1,0.910879,0.000666
75,1,0.913171,0.000533
76,1,0.916051,0.000426
77,0,0.919441,0.000341
78,0,0.922094,0.000273
79,0,0.924078,0.000543
80,0,0.925454,0.001083
81,1,0.926276,0.000946
82,0,0.927793,0.001198
83,1,0.928738,0.000958
84,0,0.930360,0.001063
85,1,0.931398,0.000850
86,0,0.933095,0.000877
87,1,0.934200,0.000702
88,1,0.935949,0.000561
89,1,0.938268,0.000449
90,0,0.941085,0.000359
91,1,0.943211,0.000287
92,1,0.945830,0.000230
93,0,0.948879,0.000184
94,0,0.951225,0.000152
95,1,0.952936,0.000121
96,0,0.955130,0.000170
97,1,0.956707,0.000136
98,0,0.958762,0.000229
99,1,0.960216,0.000183
100,0,0.962143,0.000299
101,0,0.963483,0.000698
102,1,0.964293,0.000609
103,1,0.965623,0.000487
104,1,0.967415,0.000390
105,0,0.969612,0.000312
106,1,0.971204,0.000249
107,0,0.973198,0.000200
108,1,0.974612,0.000160
109,1,0.976424,0.000128
110,1,0.978580,0.000102
111,0,0.981033,0.000082
112,0,0.982884,0.000168
113,1,0.984195,0.000135
114,0,0.985842,0.000275
115,1,0.986976,0.000220
116,1,0.988443,0.000176
117,1,0.990199,0.000141
118,1,0.992202,0.000113
119,1,0.994408,0.000090
120,0,0.996775,0.000072
121,1,0.998608,0.000058
122,1,1.000594,0.000046
123,1,1.002698,0.000037
124,1,1.004884,0.000030
125,1,1.007118,0.000024
