episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,1,0.696319,0.000000
2,0,0.699777,0.000000
3,0,0.702819,0.000014
4,0,0.705438,0.000113
5,0,0.707658,0.000306
6,1,0.709503,0.000245
7,1,0.714040,0.000196
8,0,0.718048,0.000157
9,0,0.720343,0.000210
10,1,0.722247,0.000168
11,0,0.726525,0.000164
12,0,0.728468,0.000300
13,1,0.730035,0.000240
14,0,0.734557,0.000279
15,0,0.736181,0.000464
16,1,0.737444,0.000371
17,1,0.742184,0.000297
18,1,0.746354,0.000237
19,0,0.749988,0.000190
20,1,0.752152,0.000152
21,0,0.755683,0.000122
22,1,0.757851,0.000097
23,1,0.761284,0.000078
24,0,0.764214,0.000062
25,0,0.766799,0.000050
26,1,0.768933,0.000040
27,1,0.772215,0.000032
28,1,0.774995,0.000025
29,0,0.777304,0.000020
30,0,0.780269,0.000016
31,0,0.782746,0.000013
32,1,0.784765,0.000010
33,0,0.787889,0.000008
34,1,0.789905,0.000007
35,1,0.792941,0.000005
36,0,0.795473,0.000004
37,1,0.797909,0.000003
38,1,0.800393,0.000003
39,1,0.802402,0.000082
40,1,0.803966,0.000260
41,0,0.805113,0.000229
42,0,0.808767,0.000184
43,0,0.811860,0.000147
44,1,0.814425,0.000118
45,1,0.816492,0.000118
46,1,0.818096,0.000224
47,1,0.819268,0.000437
48,1,0.820035,0.000749
49,0,0.820422,0.000718
50,1,0.824609,0.000841
51,0,0.825088,0.000695
52,1,0.829077,0.000727
53,1,0.829639,0.000912
54,0,0.829826,0.000773
55,1,0.834046,0.000825
56,1,0.834333,0.001038
57,1,0.834260,0.001382
58,1,0.833850,0.001831
59,0,0.833125,0.001714
60,0,0.838359,0.001371
61,1,0.842890,0.001218
62,1,0.842775,0.001297
63,1,0.842319,0.001557
64,1,0.841544,0.001956
65,1,0.840471,0.002459
66,1,0.839120,0.003035
67,1,0.837510,0.003659
68,1,0.835659,0.004311
69,1,0.833583,0.004973
70,1,0.831297,0.005631
71,0,0.828817,0.005198
72,1,0.836557,0.005072
73,1,0.834330,0.005170
74,0,0.831903,0.004376
75,0,0.839484,0.003501
76,1,0.846193,0.002801
77,1,0.844462,0.002469
78,1,0.842492,0.002477
79,1,0.840299,0.002731
80,1,0.837898,0.003157
81,1,0.835305,0.003697
82,1,0.832533,0.004308
83,1,0.829596,0.004956
84,1,0.826505,0.005614
85,1,0.823271,0.006263
86,1,0.819907,0.006889
87,1,0.816421,0.007482
88,1,0.812824,0.008035
89,1,0.809124,0.008544
90,1,0.805329,0.009006
91,1,0.801449,0.009420
92,1,0.797490,0.009786
93,1,0.793460,0.010107
94,1,0.789364,0.010382
95,1,0.785209,0.010614
96,1,0.781002,0.010806
97,1,0.776748,0.010960
98,1,0.772451,0.011078
99,1,0.768117,0.011163
100,1,0.763750,0.011219
101,1,0.759355,0.011247
102,1,0.754935,0.011249
103,1,0.750495,0.011229
104,1,0.746039,0.011189
105,1,0.741568,0.011130
106,1,0.737088,0.011054
107,1,0.732600,0.010965
108,1,0.728107,0.010862
109,1,0.723612,0.010748
110,1,0.719118,0.010625
111,1,0.714627,0.010493
112,1,0.710140,0.010354
113,1,0.705661,0.010209
114,1,0.701190,0.010059
115,1,0.696730,0.009905
116,1,0.692282,0.009748
117,1,0.687847,0.009588
118,1,0.683428,0.009427
119,1,0.679026,0.009265
120,1,0.674641,0.009102
121,1,0.670275,0.008939
122,1,0.665929,0.008776
123,1,0.661604,0.008615
124,1,0.657302,0.008454
125,1,0.653021,0.008295
126,1,0.648765,0.008137
